"Organism","Limb_width","Limb_length","Observer","Volume"
"Chicken turtle",4.42678527962416,65.5870831414912,"Observer_2",1009.45069766992
"Chicken turtle",2.33741220298689,67.1506498688328,"Observer_2",288.144752879146
"Pink fairy armadillo",0.60433094506152,62.8055487820164,"Observer_1",18.0151367140596
"Chicken turtle",4.77706788082141,62.2408179743946,"Observer_1",1115.54732204264
"Pink fairy armadillo",3.31295841566753,55.4909673563554,"Observer_2",478.348202613885
"Raspberry crazy ant",4.81881873942912,62.9476325458416,"Observer_2",1148.02266815741
"Pink fairy armadillo",3.81645173386205,42.1561778241182,"Observer_3",482.248247118595
"Raspberry crazy ant",1.90734270953108,39.7399555169276,"Observer_1",113.546754512435
"Raspberry crazy ant",1.40326593779027,60.7061053827143,"Observer_1",93.8862990670033
"Sarcastic fringehead",2.84864512041677,41.8148427748687,"Observer_1",266.499898125154
"Raspberry crazy ant",1.93486760184169,54.2646422147681,"Observer_3",159.554600407367
"Sarcastic fringehead",2.29773007282056,58.7813348753304,"Observer_3",243.740300590052
"Pink fairy armadillo",3.79692827733234,53.2979120075773,"Observer_1",603.482754509319
"Raspberry crazy ant",1.96110103484243,52.8654856735429,"Observer_2",159.684236261168
"Chicken turtle",3.96215958674438,37.3460364843174,"Observer_3",460.466803920835
"Pink fairy armadillo",0.740408888668753,53.9370865221579,"Observer_2",23.2231224905986
"Ice cream cone worm",1.0196864844067,57.7996511833632,"Observer_3",47.2006984022575
"Chicken turtle",3.03994590039365,45.6787020652867,"Observer_1",331.539551996292
"Pink fairy armadillo",3.08280141337309,47.7422901434073,"Observer_2",356.356125171363
"Ice cream cone worm",4.74386200618464,55.8461374963607,"Observer_2",987.068101691843
"Chicken turtle",2.08210038056131,53.7963948275988,"Observer_3",183.166640831046
"Chicken turtle",1.9104954425944,71.499193357556,"Observer_3",204.966571001044
"Sarcastic fringehead",3.48103479740676,53.0352864140426,"Observer_2",504.744423186797
"Raspberry crazy ant",2.65356505631935,54.1202227475848,"Observer_2",299.301529214747
"Ice cream cone worm",2.10642726779915,26.9083112435919,"Observer_2",93.7711538477848
"Chicken turtle",1.30404602235649,56.1928353484937,"Observer_2",75.0510313982397
"Pink fairy armadillo",2.01097273270134,51.8130347974915,"Observer_1",164.566440553621
"Raspberry crazy ant",3.2849272781983,46.8060619117057,"Observer_3",396.68292167344
